Scenario,Policy,Pmcs,Avg_Tput,Avg_Exp,Avg_Trace,Avg_dy,Avg_ts,Survival,Avg_ND
A,Oracle,0.11943296826671962,3.7199999999999998,8.5,10.0,0.0,0.6999999999999997,0.11943296826671962,-100.0
A,RNCO,0.0009829031181487387,3.5640000000000005,27.7,12239.367445651442,480.0,0.10000000000000003,0.0009829031181487387,-75.37606505171698
A,RNCO_No_RF,0.0009829031181487387,3.5640000000000005,27.7,12239.367445651442,480.0,0.10000000000000003,0.0009829031181487387,-75.37606505171698
A,RNCO_No_EXP,0.0009829031181487387,3.5640000000000005,27.7,12239.367445651442,480.0,0.10000000000000003,0.0009829031181487387,-75.37606505171698
A,RNCO_No_INFO,0.0009829031181487387,3.5640000000000005,27.7,12239.367445651442,480.0,0.10000000000000003,0.0009829031181487387,-75.37606505171698
A,Fixed_800,4.0065297392951015e-11,1.5252000000000001,40.5,13354.910143197392,800.0,0.6999999999999997,4.006529739295107e-05,-71.48853969322296
A,Fixed_460,1.200520579511101e-10,1.4694,26.89999999999999,14902.36925629921,460.0,0.6999999999999997,0.001200520579511103,-67.96841329153291
A,H_MRSM,1.631372925126012e-10,1.4694,25.67333333333333,14902.525457010208,429.3333333333333,0.6999999999999997,0.0016313729251260143,-67.968195100296
A,No_Loc_No_Cog,0.11943296826671962,1.9799999999999993,8.5,16500.0,0.0,0.10000000000000003,0.11943296826671962,-69.7481092370394
B,Oracle,0.11943296826671962,3.7199999999999998,8.5,10.0,0.0,0.6999999999999997,0.11943296826671962,-100.0
B,RNCO,3.263353275976147e-05,3.3924000000000007,22.9,12647.924255795906,360.0,0.10000000000000003,0.0032633532759761483,-74.58506641321718
B,RNCO_No_RF,3.263353275976147e-05,3.3924000000000007,22.9,12647.924255795906,360.0,0.10000000000000003,0.0032633532759761483,-74.58506641321718
B,RNCO_No_EXP,3.263353275976147e-05,3.3924000000000007,22.9,12647.924255795906,360.0,0.10000000000000003,0.0032633532759761483,-74.58506641321718
B,RNCO_No_INFO,3.263353275976147e-05,3.3924000000000007,22.9,12647.924255795906,360.0,0.10000000000000003,0.0032633532759761483,-74.58506641321718
B,Fixed_800,4.006529739295101e-12,1.4694,40.5,13799.069039263708,800.0,0.6999999999999997,4.006529739295107e-05,-70.66833151074803
B,Fixed_460,1.200520579511101e-10,1.4694,26.89999999999999,15092.741764256636,460.0,0.6999999999999997,0.001200520579511103,-67.68852160567349
B,H_MRSM,1.631372925126012e-10,1.4694,25.67333333333333,15092.90138225495,429.3333333333333,0.6999999999999997,0.0016313729251260143,-67.68829933188215
B,No_Loc_No_Cog,1.1943296826671933e-12,1.3265999999999996,8.5,16500.0,0.0,0.10000000000000003,0.11943296826671962,-44.173802516791625
C,Oracle,0.11943296826671962,3.7199999999999998,8.5,10.0,0.0,0.6999999999999997,0.11943296826671962,-29.382100874849733
C,RNCO,0.11943296826671962,3.9599999999999986,8.5,6585.748585368896,0.0,0.10000000000000003,0.11943296826671962,-90.72594796269522
C,RNCO_No_RF,0.11943296826671962,3.9599999999999986,8.5,6585.748585368896,0.0,0.10000000000000003,0.11943296826671962,-90.72594796269522
C,RNCO_No_EXP,0.11943296826671962,3.9599999999999986,8.5,6585.748585368896,0.0,0.10000000000000003,0.11943296826671962,-90.72594796269522
C,RNCO_No_INFO,0.11943296826671962,3.9599999999999986,8.5,6585.748585368896,0.0,0.10000000000000003,0.11943296826671962,-90.72594796269522
C,Fixed_800,4.006529739295107e-05,1.8599999999999999,40.5,7255.632413033422,800.0,0.6999999999999997,4.006529739295107e-05,-88.91696053874135
C,Fixed_460,0.001200520579511103,1.8599999999999999,26.89999999999999,7010.296320634897,460.0,0.6999999999999997,0.001200520579511103,-89.56091615751437
C,H_MRSM,0.001901713418454036,1.8599999999999999,25.059999999999995,7007.897866152756,414.0,0.6999999999999997,0.001901713418454036,-89.57864795986282
C,No_Loc_No_Cog,0.11943296826671962,1.9799999999999993,8.5,16500.0,0.0,0.10000000000000003,0.11943296826671962,-69.7481092370394
D,Oracle,0.11943296826671962,3.7199999999999998,8.5,10.0,0.0,0.6999999999999997,0.11943296826671962,-100.0
D,RNCO,2.187491118182882e-10,3.0624,24.5,13701.805508739017,400.0,0.10000000000000003,0.002187491118182885,-70.88468114859393
D,RNCO_No_RF,2.187491118182882e-10,3.0624,24.5,13701.805508739017,400.0,0.10000000000000003,0.002187491118182885,-70.88468114859393
D,RNCO_No_EXP,2.187491118182882e-10,3.0624,24.5,13701.805508739017,400.0,0.10000000000000003,0.002187491118182885,-70.88468114859393
D,RNCO_No_INFO,2.187491118182882e-10,3.0624,24.5,13701.805508739017,400.0,0.10000000000000003,0.002187491118182885,-70.88468114859393
D,Fixed_800,4.006529739295101e-12,1.4694,40.5,14542.896994938119,800.0,0.6999999999999997,4.006529739295107e-05,-68.4390675194936
D,Fixed_460,1.200520579511101e-10,1.4694,26.89999999999999,15628.706129983342,460.0,0.6999999999999997,0.001200520579511103,-67.42158314506423
D,H_MRSM,1.631372925126012e-10,1.4694,25.67333333333333,15628.780948261086,429.3333333333333,0.6999999999999997,0.0016313729251260143,-67.42148100977336
D,No_Loc_No_Cog,0.11943296826671962,1.9799999999999993,8.5,16500.0,0.0,0.10000000000000003,0.11943296826671962,-44.748109237039415
E,Oracle,0.11943296826671962,3.7199999999999998,8.5,10.0,0.0,0.6999999999999997,0.11943296826671962,-100.0
E,RNCO,1.1943296826671951e-05,3.4187975928886885,8.5,16499.99940019617,0.0,0.10000000000000003,0.11943296826671962,-66.96407332546147
E,RNCO_No_RF,1.1943296826671951e-05,3.4187975928886885,8.5,16499.99940019617,0.0,0.10000000000000003,0.11943296826671962,-66.96407332546147
E,RNCO_No_EXP,1.1943296826671951e-05,3.4187975928886885,8.5,16499.99940019617,0.0,0.10000000000000003,0.11943296826671962,-66.96407332546147
E,RNCO_No_INFO,1.1943296826671951e-05,3.4187975928886885,8.5,16499.99940019617,0.0,0.10000000000000003,0.11943296826671962,-66.96407332546147
E,Fixed_800,4.006529739295103e-09,1.6368,40.5,16496.33757310491,800.0,0.6999999999999997,4.006529739295107e-05,-66.96523129399759
E,Fixed_460,1.200520579511102e-07,1.6368,26.89999999999999,16498.750868885592,460.0,0.6999999999999997,0.001200520579511103,-66.96446101460411
E,H_MRSM,1.6313729251260127e-07,1.6368,25.67333333333333,16498.75096197849,429.3333333333333,0.6999999999999997,0.0016313729251260143,-66.96446089916974
E,No_Loc_No_Cog,1.1943296826671882e-31,0.19799986059200916,8.5,16500.0,0.0,0.10000000000000003,0.11943296826671962,0.0
